hardware,model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,attention_energy_j,ffn_energy_j,total_energy_j,total_flops,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J,attention_latency_scale,ffn_latency_scale,attention_energy_scale,ffn_energy_scale
Orin-scaled ours,qwen3-8b,0,prefill,orin,1,128,0.9515936964037175,2.6267636181149325,3.57835731451865,0.03472056211368572,0.10144404718841793,0.13616460930210364,49681480000.0,13883.87900739393,364.8633830379041,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,qwen3-8b,0,prefill,orin,1,256,1.999663980604319,5.253528333406447,7.253192314010766,0.06515263443721034,0.17285851840412525,0.2380111528413356,99910330000.0,13774.66992113339,419.77163173779013,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,qwen3-8b,0,prefill,orin,1,512,4.304237489336866,10.507053923871442,14.811291413208309,0.13818776069855454,0.31966241075805557,0.4578501714566101,202010110000.0,13638.926165469464,441.21444654552073,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,qwen3-8b,0,prefill,orin,1,1024,9.765188631975935,21.014107847742885,30.77929647971882,0.3365147498376593,0.628526484947553,0.9650412347852123,412777800000.0,13410.891320144003,427.73073846100607,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,qwen3-8b,0,prefill,orin,1,4096,66.22214591658062,85.35071025858139,151.572856175162,2.9990850938242786,2.5514356315017612,5.55052072532604,1861296900000.0,12279.88273737503,335.3373479910151,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,qwen3-8b,0,decode,orin,1,128,0.6984438044526051,2.372736,3.0711798044526053,0.01188506962495472,0.039885964272889124,0.05177103389784384,388136590.0,126.38028859048842,7.497176717889829,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,qwen3-8b,0,decode,orin,1,256,0.7340229042001377,2.372736,3.106758904200138,0.01259957169585217,0.039885964272889124,0.052485535968741295,390274700.0,125.62117371656157,7.435852426703523,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,qwen3-8b,0,decode,orin,1,512,0.8051811036952032,2.372736,3.1779171036952034,0.014028575837647071,0.039885964272889124,0.053914540110536195,394550930.0,124.1539401834069,7.318080228285121,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,qwen3-8b,0,decode,orin,1,1024,0.9474975026853341,2.372736,3.3202335026853342,0.016886584121236874,0.039885964272889124,0.056772548394126,403103400.0,121.40814785284788,7.100322451646496,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,qwen3-8b,0,decode,orin,1,4096,1.8669388694973608,2.372736,4.239674869497361,0.034809028549818745,0.039885964272889124,0.07469499282270786,454418100.0,107.18229911197741,6.083648753787059,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,qwen3-moe,0,prefill,orin,1,128,1.725064,37.9865,39.711564,0.05990344999999999,0.6765051,0.7364085499999999,57485700000.0,1447.5808608293544,78.06223868530589,0.3448030218415116,0.9963470901702444,0.8931146466540991,0.9709776745712121
Orin-scaled ours,qwen3-moe,0,prefill,orin,1,256,3.6324929390398877,38.37847290874387,42.01096584778376,0.11396678760094298,0.7439978552572124,0.8579646428581553,116066110000.0,2762.7574767154024,135.2807612366712,0.3448030218415116,0.9963470901702444,0.8931146466540991,0.9709776745712121
Orin-scaled ours,qwen3-moe,0,prefill,orin,1,512,7.896996024994394,39.08079797260488,46.97779399759927,0.24699023035193846,0.8915923847558516,1.13858261510779,236511030000.0,5034.528228636843,207.72408331354103,0.3448030218415116,0.9963470901702444,0.8931146466540991,0.9709776745712121
Orin-scaled ours,qwen3-moe,0,prefill,orin,1,1024,18.240117783748367,75.32118973361062,93.56130751735898,0.615467362941112,1.1702009318843842,1.7856682948254963,490537600000.0,5242.953663393253,274.7081310798194,0.3448030218415116,0.9963470901702444,0.8931146466540991,0.9709776745712121
Orin-scaled ours,qwen3-moe,0,prefill,orin,1,4096,130.13090166262845,304.3210669109109,434.4519685735393,5.792883603427304,2.941350627315312,8.734234230742617,2382521000000.0,5483.968706190159,272.77960918589076,0.3448030218415116,0.9963470901702444,0.8931146466540991,0.9709776745712121
Orin-scaled ours,qwen3-moe,0,decode,orin,1,128,1.19184,2.364803,3.556643,0.02028763,0.03922093,0.05950856,449107000.0,126.27272402656101,7.546931063362985,1.0,0.9989186280262047,0.9942163077382979,0.9940253447642693
Orin-scaled ours,qwen3-moe,0,decode,orin,1,256,1.259936,2.364803,3.624739,0.02165664597142948,0.03922093,0.06087757597142948,453383200.0,125.08023336300903,7.447458161159008,1.0,0.9989186280262047,0.9942163077382979,0.9940253447642693
Orin-scaled ours,qwen3-moe,0,decode,orin,1,512,1.396152,2.364803,3.760955,0.02440267141340266,0.03922093,0.06362360141340266,461936700.0,122.8243092512407,7.260461365563165,1.0,0.9989186280262047,0.9942163077382979,0.9940253447642693
Orin-scaled ours,qwen3-moe,0,decode,orin,1,1024,1.668576,2.364803,4.033379,0.02991717170157775,0.03922093,0.06913810170157775,479042100.0,118.769423850325,6.928771375119605,1.0,0.9989186280262047,0.9942163077382979,0.9940253447642693
Orin-scaled ours,qwen3-moe,0,decode,orin,1,4096,3.335592,2.364803,5.700395,0.06276330464575253,0.03922093,0.10198423464575253,581670000.0,102.04029720747423,5.7035286093037865,1.0,0.9989186280262047,0.9942163077382979,0.9940253447642693
