Arch,Config,Model,Layer,Phase,OpName,OpType,Cycles,Energy(uJ),Computes,Utilization(%),DRAM_Acc,SRAM_Acc,MLIR_Desc,MLIR_Elems,YAML_N,YAML_C,YAML_M,YAML_R,YAML_S,YAML_P,YAML_Q,YAML_G
lego,edge,llama3_8b,ffn_prefill_1,prefill,batch_matmul_1,ffn,234881024,5961052.52,481036337152,50.0,7591690240,31197233152,batch_matmul_1: Up projection,481036337152,8,4096,14336,1,1,1024,1,1
lego,edge,llama3_8b,ffn_prefill_2,prefill,batch_matmul_2,ffn,234881024,6242462.81,481036337152,50.0,2466250752,62360911872,batch_matmul_2: Down projection,481036337152,8,14336,4096,1,1,1024,1,1
lego,edge,qwen3_8b,attn_decode_0,decode,batch_matmul_0,attn,32768,4812.69,134217728,100.0,16842752,52461568,batch_matmul_0: Q projection,134217728,8,4096,4096,1,1,1,1,1
lego,edge,qwen3_8b,attn_decode_1,decode,batch_matmul_1,attn,8192,1237.63,33554432,100.0,4317184,13697024,batch_matmul_1: K projection (GQA),33554432,8,4096,1024,1,1,1,1,1
lego,edge,qwen3_8b,attn_decode_2,decode,batch_matmul_2,attn,8192,1237.63,33554432,100.0,4317184,13697024,batch_matmul_2: V projection (GQA),33554432,8,4096,1024,1,1,1,1,1
lego,edge,qwen3_8b,attn_decode_3,decode,batch_matmul_3,attn,8192,459.73,33554432,100.0,950272,1736704,batch_matmul_3: QK^T attention score,33554432,256,128,1024,1,1,1,1,1
lego,edge,qwen3_8b,attn_decode_4,decode,batch_matmul_4,attn,8192,375.11,33554432,100.0,884736,3014656,batch_matmul_4: Score×V,33554432,256,1024,128,1,1,1,1,1
lego,edge,qwen3_8b,attn_decode_5,decode,batch_matmul_5,attn,32768,4812.69,134217728,100.0,16842752,52461568,batch_matmul_5: Output projection,134217728,8,4096,4096,1,1,1,1,1
lego,edge,qwen3_8b,attn_prefill_0,prefill,batch_matmul_0,attn,33554432,1924222.5,137438953472,100.0,4345298944,4378853376,batch_matmul_0: Q projection,137438953472,8,4096,4096,1,1,1024,1,1
lego,edge,qwen3_8b,attn_prefill_1,prefill,batch_matmul_1,attn,8388608,407591.38,34359738368,100.0,666894336,943718400,batch_matmul_1: K projection (GQA),34359738368,8,4096,1024,1,1,1024,1,1
lego,edge,qwen3_8b,attn_prefill_2,prefill,batch_matmul_2,attn,8388608,407591.38,34359738368,100.0,666894336,943718400,batch_matmul_2: V projection (GQA),34359738368,8,4096,1024,1,1,1024,1,1
lego,edge,qwen3_8b,attn_prefill_3,prefill,batch_matmul_3,attn,8388608,584220.46,34359738368,100.0,1912733696,838991872,batch_matmul_3: QK^T attention score,34359738368,256,128,1024,1,1,1024,1,1
lego,edge,qwen3_8b,attn_prefill_4,prefill,batch_matmul_4,attn,8388608,992801.74,34359738368,100.0,1312817152,17586716672,batch_matmul_4: Score×V,34359738368,256,1024,128,1,1,1024,1,1
lego,edge,qwen3_8b,attn_prefill_5,prefill,batch_matmul_5,attn,33554432,1924222.5,137438953472,100.0,4345298944,4378853376,batch_matmul_5: Output projection,137438953472,8,4096,4096,1,1,1024,1,1
lego,edge,qwen3_8b,ffn_decode_0,decode,batch_matmul_0,ffn,98304,15068.33,402653184,100.0,53641216,157548544,batch_matmul_0: Gate projection,402653184,8,4096,12288,1,1,1,1,1
lego,edge,qwen3_8b,ffn_decode_1,decode,batch_matmul_1,ffn,98304,15068.33,402653184,100.0,53641216,157548544,batch_matmul_1: Up projection,402653184,8,4096,12288,1,1,1,1,1
lego,edge,qwen3_8b,ffn_decode_2,decode,batch_matmul_2,ffn,98304,13578.55,402653184,100.0,50790400,125927424,batch_matmul_2: Down projection,402653184,8,12288,4096,1,1,1,1,1
lego,edge,qwen3_8b,ffn_prefill_0,prefill,batch_matmul_0,ffn,1610612736,5500540.09,412316860416,6.25,889192448,65011712000,batch_matmul_0: Gate projection,412316860416,8,4096,12288,1,1,1024,1,1
lego,edge,qwen3_8b,ffn_prefill_1,prefill,batch_matmul_1,ffn,1610612736,5500540.09,412316860416,6.25,889192448,65011712000,batch_matmul_1: Up projection,412316860416,8,4096,12288,1,1,1024,1,1
lego,edge,qwen3_8b,ffn_prefill_2,prefill,batch_matmul_2,ffn,201326592,6571409.97,412316860416,50.0,8069840896,66085453824,batch_matmul_2: Down projection,412316860416,8,12288,4096,1,1,1024,1,1
